"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"MEGATRON","Microsoft Office Enterprise 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0030-0000-0000-0000000FF1CE}-C\","EnterpriseWW.msi","C:\Windows\Installer\97140d.msi","Dan Komnick",,,,,"0","Microsoft Office Enterprise 2007","{90120000-0030-0000-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office OneNote MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-00A1-0409-0000-0000000FF1CE}-C\","OneNoteMUI.msi","C:\Windows\Installer\9713f7.msi",,,,,,"1033","Microsoft Office OneNote MUI (English) 2007","{90120000-00A1-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office Groove Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20170721",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0114-0409-0000-0000000FF1CE}-C\","GrooveMUISet.msi","C:\Windows\Installer\971389.msi",,,,,,"1033","Microsoft Office Groove Setup Metadata MUI (English) 2007","{90120000-0114-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office InfoPath MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0044-0409-0000-0000000FF1CE}-C\","InfoPathMUI.msi","C:\Windows\Installer\971392.msi",,,,,,"1033","Microsoft Office InfoPath MUI (English) 2007","{90120000-0044-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office Access MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\Access.en-us\","AccessMUI.msi","C:\Windows\Installer\9713e5.msi",,,,,,"1033","Microsoft Office Access MUI (English) 2007","{90120000-0015-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office Shared Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20170721",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0115-0409-0000-0000000FF1CE}-C\","OfficeMUISet.msi","C:\Windows\Installer\97135c.msi",,,,,,"1033","Microsoft Office Shared Setup Metadata MUI (English) 2007","{90120000-0115-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office Excel MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0016-0409-0000-0000000FF1CE}-C\","ExcelMUI.msi","C:\Windows\Installer\971365.msi",,,,,,"1033","Microsoft Office Excel MUI (English) 2007","{90120000-0016-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20170721",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0116-0409-1000-0000000FF1CE}-C\","Office64MUISet.msi","C:\Windows\Installer\9713a4.msi",,,,,,"1033","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007","{90120000-0116-0409-1000-0000000FF1CE}"
"MEGATRON","Microsoft Office Access Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20170721",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\","AccessMUISet.msi","C:\Windows\Installer\9713ee.msi",,,,,,"1033","Microsoft Office Access Setup Metadata MUI (English) 2007","{90120000-0117-0409-0000-0000000FF1CE}"
"MEGATRON","Microsoft Office PowerPoint MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20180222",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0018-0409-0000-0000000FF1CE}-C\","PowerPointMUI.msi","C:\Windows\Installer\971377.msi",,,,,,"1033","Microsoft Office PowerPoint MUI (English) 2007","{90120000-0018-0409-0000-0000000FF1CE}"
